phrase_name,tag_CK,count_CK,modified_tag,modified_count
消費合作社,Ncb,0,n,5
涔淚,Naa,0,n,2
液體動力學,Nad,0,n,5
涼台,Nab,1,n,2
涼席,Nab,0,n,2
淀,b,0,zg,1
淋濕,VB12,10,v,10
淑懿,Nad,0,n,2
淒切,VH21,2,i,2
淒咽,VH21,0,i,2
淒惶,VH21,0,i,2
淒慘,VH11,6,i,6
淒楚,VH11,3,i,3
淒淒,VH21,0,i,2
淒清,VH11,4,i,4
淒然,Dh,0,n,2
淒迷,VH11,0,i,2
淒風苦雨,Naea,2,n,4
淡大,Nca,57,ns,57
淡水工商管理專校,Nca,0,ns,8
淩,b,0,zg,1
深得,VJ3,0,v,2
深摰,VH11,0,i,2
深更,VH11,0,i,2
深耕易耨,VA4,0,v,4
深詆,VC2,0,v,2
深鉅,VH11,1,i,2
淳風,Nad,0,n,2
淺明,VH11,0,i,2
淺說,VC2,1,v,2
添上,VC31,1,v,2
淼淼,VH11,0,i,2
清官難斷家務事,VE2,0,v,7
清寒獎學金,Naeb,0,n,5
清掃伕,Nab,0,n,3
清輝,Naa,0,n,2
清道伕,Nab,1,n,3
清閑,VH11,1,i,2
渥飾,Naa,0,n,2
渦輪發動機,Nab,0,n,5
測量出,VE2,0,v,3
港都,Nab,0,n,2
游,"Nbc, VA11","27, 45","nr, v","27, 45"
游俠,Nab,0,n,2
游刃有餘,VH11,9,i,9
游動,VA11,7,v,7
游士,Nab,0,n,2
游子,Nab,1,n,2
游手,VA4,0,v,2
游手好閒,VH11,2,i,4
游手恣睢,VH11,0,i,4
游擊,Nad,8,n,8
游樂,VA4,0,v,2
游標,Nac,16,n,16
游民,Nab,3,n,3
游牧,VA4,9,v,9
游牧民族,Naeb,0,n,4
游盪,VA4,0,v,2
游目騁懷,VA4,0,v,4
游移,VA11,15,v,15
游絲,Nab,2,n,2
游船,Nab,0,n,2
游蕩,VA4,1,v,2
游藝會,Nac,0,n,3
游行,VA11,0,v,2
游說,VF2,2,v,2
游資,Naeb,14,n,14
游走,VC1,11,v,11
游蹤,Nad,0,n,2
游開,VA11,0,v,2
游離,VA4,10,v,10
游離份子,Nab,0,n,4
游騎兵,Nab,0,n,3
游魂,Nab,2,n,2
湔洗,VC2,0,v,2
湔滌,VC2,0,v,2
湔雪,VC2,1,v,2
湛深,VH11,0,i,2
湯武,Nba,0,nr,2
源由,Nac,5,n,5
準的,Nac,1,n,2
溫善,VH11,0,i,2
溫純,VH11,0,i,2
溫顏,Nad,2,n,2
滂渤,VH11,0,i,2
滂霈,VH11,0,i,2
滄溟,Nab,0,n,2
滑過,VC1,4,v,4
滾上,VC1,0,v,2
滾珠承軸製造廠,Ncb,0,n,7
滿人,Nab,0,n,2
滿佈,VH14,10,v,10
滿兵,Nab,0,n,2
滿口胡說八道,VA4,0,v,6
漂了,VH11,0,i,2
漂蕩,VA11,0,v,2
漏卮,Nab,0,n,2
漏杓,Nab,0,n,2
漢儒,Nab,1,n,2
漢軍,Nab,2,n,2
漦,b,0,zg,1
漸癒,VH11,0,i,2
漻,b,0,zg,1
漾漾,VH11,0,i,2
潘恩,Nba,1,nr,2
潛水人,Nab,7,n,7
潝,b,0,zg,1
潤濕,VH11,0,i,2
潤濕器,Nab,0,n,3
潮濕,VH11,34,i,34
澈悟,VH11,1,i,2
澔,b,0,zg,1
澦,b,0,zg,1
澹泊,VH11,0,i,2
澹然,VH11,0,i,2
濃妝艷抹,VH11,3,i,4
濕,VH11,59,i,59
濕地,Naa,53,n,53
濕季,Ndabf,0,t,2
濕度,Nad,26,n,26
濕度表,Nab,0,n,3
濕氣,Nad,4,n,4
濕淋淋,VH11,9,i,9
濕漉漉,VH11,5,i,5
濕潤,VH11,12,i,12
濕熱,VH11,6,i,6
濕疹,Nad,4,n,4
濕答答,VH11,2,i,3
濕透,VH16,10,v,10
濘泥,Naa,2,n,2
濘滯,VH11,0,i,2
濟燃眉之急,VH11,0,i,5
濡濕,VC2,1,v,2
濺濕,VC2,0,v,2
濾過性病毒,Naa,0,n,5
瀇,b,0,zg,1
瀛台,Nca,0,ns,2
瀟洒,VH11,6,i,6
灑上,VC33,0,v,2
灕,b,0,zg,1
灘上,Ncc,0,n,2
灨,Nca,0,ns,1
火伕,Nab,0,n,2
火燄,Naa,4,n,4
火砲,Nab,2,n,2
火腿三明治,Nab,0,n,5
火車時刻表,Nac,0,n,5
灰蒙蒙,VH11,0,i,3
灰黯,VH11,1,i,2
炖,VC31,2,v,2
炘,Nbc,0,nr,1
炭水化合物,Naa,0,n,5
炮台,Nab,5,n,5
炳煥,VH11,0,i,2
炷香,VA4,0,v,2
炸中,VC2,0,v,2
炸毀,VC2,12,v,12
為人,Nad,33,n,33
為人作嫁,VH11,2,i,4
為人在世,VA4,0,v,4
為公,VH11,0,i,2
為善,VA4,9,v,9
為學,VA4,2,v,2
為宜,VI2,38,v,38
為己,VH11,5,i,5
為幸,VH11,0,i,2
為患,VH11,7,i,7
為憑,VH11,8,i,8
為業,VH11,7,i,7
為榮,VI1,30,i,30
為甚,VI2,10,v,10
為甚麼,Dj,32,d,32
為私,VA4,0,v,2
為要,VH11,0,i,2
為證,VI2,8,v,8
為限,VI2,43,v,43
為難起來,VR,0,l,4
烏坵,Nca,4,ns,4
烏山頭水庫,Nca,0,ns,5
烏巾,Nab,1,n,2
烏托邦主義,Nba,0,nr,5
烹醢,Nad,0,n,2
烽火台,Nab,1,n,3
焉有,Dbab,1,v,2
焚毀,VC2,11,v,11
焠,VC2,0,v,1
無干,VI2,1,v,2
無意義,VH11,14,i,14
無我,VH11,22,i,22
無政府狀態,Nad,0,n,5
無業游民,Nab,1,n,4
無生物,Naeb,2,n,3
無產階級專政,Nad,0,n,6
無由,Dh,3,n,3
無異議通過,VC2,0,v,5
無立足之地,VH11,0,i,5
無精打釆,VH11,0,i,4
無線電台,Nac,0,n,4
無線電視台,Nac,0,n,5
無緣見面不相識,VH11,0,i,7
無記名投票,Nad,0,n,5
焦思,Nad,0,n,2
焦砟,Naa,0,n,2
然否,VH11,0,i,2
然諾,Nad,0,n,2
煉金,VA4,2,v,2
煉金術,Nad,2,n,3
煉銅,"Naa, VA4","0, 0","n, v","2, 2"
煉鋁,"Naa, VA4","0, 0","n, v","2, 2"
煉鋼,VA4,62,v,62
煉鋼廠,Ncb,4,n,4
煉鋼業,Nad,0,n,3
煉鐵,"Naa, VA4","2, 7","n, v","2, 7"
煙卷兒,Nab,0,n,3
煙台,Nca,1,ns,2
煙嘴,Nab,0,n,2
煙嘴兒,Nab,0,n,3
煙屁股,Nab,4,n,4
煙捲,Nab,0,n,2
煙捲兒,Nab,0,n,3
煙斗,Nab,6,n,6
煙杆,Nab,0,n,2
煙灰,Naa,4,n,4
煙灰缸,Nab,6,n,6
煙絲,Naa,0,n,2
煙缸,Nab,0,n,2
煙草,Naa,8,n,8
煙葉,Nab,2,n,2
煙蒂,Nab,1,n,2
煙袋,Nab,1,n,2
煙袋嘴,Nab,0,n,3
煙袋鍋子,Nab,0,n,4
煙酒,Naeb,7,n,7
煙頭,Nab,7,n,7
煜熠,VH11,0,i,2
煞是,Dbb,8,d,8
煢居,VA12,0,v,2
煢煢,b,0,zg,2
煢獨,VH11,1,i,2
煦日,Naa,0,n,2
照准,VH11,0,i,2
熊心豹子膽,Naa,0,n,5
熊蹯,Nab,0,n,2
熏,VC2,3,v,3
熛,b,0,zg,1
熠煜,VH11,0,i,2
熱中,VL1,32,v,32
熱和,VH11,0,i,2
熾燄,Naa,0,n,2
燄,b,0,zg,1
燐,b,0,zg,1
燒毀,VC2,17,v,17
燕居,VA12,0,v,2
燕爾,VH11,0,i,2
燕王,Nba,2,nr,2
燕遊,VA4,0,v,2
燕雀安知鴻鵠志,VH11,0,i,7
營利事業所得稅,Naeb,0,n,7
燥濕,VH11,0,i,2
燬,b,0,zg,1
燭台,Nab,4,n,4
燹,b,0,zg,1
爍金,b,0,zg,2
爐台,Nab,11,n,11
爝,b,0,zg,1
爨婦,Nab,0,n,2
爨室,Ncb,0,n,2
爨火,VA4,0,v,2
爬上,VC1,48,v,48
爬下,VC1,5,v,5
爭取到,VC31,38,v,38
爭奇鬥艷,VA4,3,v,4
父事,VC2,0,v,2
爹地,Nab,1,n,2
爹娘,Naeb,9,n,9
爺娘,Naeb,1,n,2
爾來,Dd,0,d,2
爾時,Dd,0,d,2
爾等,Nhaa,1,r,2
牋,Nab,0,n,1
牒文,Nac,0,n,2
牖戶,Nab,0,n,2
牛骨,Nab,3,n,3
牝雞司晨,VH11,0,i,4
牠們,Nhaa,387,r,387
牣,b,0,zg,1
牧守,Nab,0,n,2
物質不滅定律,Nad,0,n,6
物質生活,Nad,17,n,17
牷,b,0,zg,1
犧牲掉,VJ1,4,v,4
犯罪心理學,Nad,0,n,5
犰,b,0,zg,1
狂狷,VH11,1,i,2
狄斯奈樂園,Nca,0,ns,5
狄斯耐樂園,Nca,0,ns,5
狄青,Nba,3,nr,3
狉,b,0,zg,1
狎昵,VH11,0,i,2
狗嘴吐不出象牙,VH11,0,i,7
狗年,Ndaba,0,t,2
狗彘,Naeb,0,n,2
狗才,Nab,0,n,2
狳,b,0,zg,1
狷介,VH11,0,i,2
狷忿,VH21,0,i,2
狷急,VH11,0,i,2
狼人,Nab,1,n,2
狼吞虎咽,VA4,0,v,4
猋,"Naa, VH11","0, 0","i, n","1, 1"
猘,b,0,zg,1
猜燈謎,VA4,0,v,3
猞,b,0,zg,1
猴年,Ndaba,0,t,2
猾賊,Nab,0,n,2
猾頭,VH11,0,i,2
獃,VH11,1,i,1
獎挹,VC2,0,v,2
獎杯,Nab,11,n,11
獨占,VJ3,21,v,21
獨占鼇頭,VH11,0,i,4
玄色,Nad,0,n,2
玄談,Nad,0,n,2
玄門,Nad,0,n,2
玄鳥,Nab,0,n,2
玄黃,Ncb,1,n,2
玄鼠,Nab,0,n,2
率爾操觚,VA4,0,v,4
率由,b,0,zg,2
玉不琢不成器,VH11,0,i,6
玉展,VA4,0,v,2
玉峰,Nca,0,ns,2
玉池,Nca,0,ns,2
玉爪,Nab,0,n,2
玉牒,Nab,0,n,2
玉簫,Nab,0,n,2
玉聲,Nad,0,n,2
玉茭,Nab,0,n,2
玉階,Nab,0,n,2
玉顏,Nad,0,n,2
王事,Nad,0,n,2
王冕,Nba,0,nr,2
王命,Nac,0,n,2
王天下,VA4,0,v,3
王學,Nad,1,n,2
王師,Naea,0,n,2
王弼,Nba,0,nr,2
王政,Nad,0,n,2
王業,Nad,0,n,2
王父,Nab,0,n,2
王相,Nad,0,n,2
王祥,Nba,0,nr,2
王考,Nab,0,n,2
玩月,VA4,0,v,2
玲玎,Dh,0,n,2
玷污,VC2,3,v,3
玻里尼西亞,Nca,1,ns,5
玻里尼西亞人,Nab,0,n,6
珍肴異饌,Naeb,0,n,4
班彪,Nba,2,nr,2
班昭,Nba,9,nr,9
班白,VH11,0,i,2
珮環,Nab,0,n,2
珮飾,Nab,0,n,2
現在完成式,Nad,0,n,5
琀,b,0,zg,1
球桿,Nab,6,n,6
球面幾何學,Nad,0,n,5
琅琊,Nca,0,ns,2
理論科學,Nad,0,n,4
琤琮,VH11,0,i,2
琱,b,0,zg,1
琴弦,Nab,16,n,16
瑋寶,Naeb,0,n,2
瑞草,Nab,0,n,2
瑩澤,Nad,0,n,2
瑪莉,Nba,7,nr,7
瑪麗蓮夢露,Nba,1,nr,5
瑲,b,0,zg,1
瑽,b,0,zg,1
璦琿,Nca,0,ns,2
璫璫,Dh,0,n,2
璱,b,0,zg,1
瓜瓞,Nab,0,n,2
瓜瓞,VH11,0,i,4
瓞,b,0,zg,1
瓦窯,Ncb,0,n,2
瓶缽,Naeb,0,n,2
甄訓,VC2,0,v,2
甘比亞共和國,Nca,0,ns,6
甘霈,Naa,0,n,2
生下來,VB2,47,v,47
生出來,VB12,19,v,19
生旦淨末丑,Naeb,0,n,5
生死有命富貴在天,VH11,0,i,8
生活力,Nad,1,n,3
產生出,VC31,7,v,7
產銷一元化,VH16,0,v,5
用上,VC2,9,v,9
用不了,VJ1,0,v,3
用事,b,0,zg,2
用命,VA4,0,v,2
用完,VC2,40,v,40
用情,VI1,2,i,2
用畢,VA4,5,v,5
用起來,Dbc,4,v,4
用飯,VA4,3,v,3
田岸,Ncb,0,n,2
田田,VH11,1,i,2
田黃,Naa,0,n,2
由于,Cbaa,6,c,6
由儉入奢易,VH11,0,i,5
由奢入儉難,VH11,0,i,5
申請到,VC2,19,v,19
界說,VB11,2,v,2
畎畝,Ncb,0,n,2
留得青山在不怕沒柴燒,VH11,0,i,10
略可,VH11,0,i,2
略說,Nad,0,n,2
番人,Nab,5,n,5
畫一,VH11,3,i,3
畫上,VC31,31,v,31
畫出,VC31,44,v,44
畫出來,VB2,7,v,7
畫成,VG1,21,v,21
畫棟雕梁,Naeb,0,n,4
畫為,VG1,3,v,3
畫起來,VB2,1,v,3
畫餅充饑,VA4,0,v,4
當機,"Nv4, VH11","0, 13","i, v","13, 2"
當舖,Ncb,7,n,7
當道,"Nab, VA4","2, 10","n, v","2, 10"
當選人,Nab,9,n,9
當選為,VG2,6,v,6
當關,"Nab, VA4","0, 3","n, v","2, 3"
疊蓆,Nab,0,n,2
疋頭,Naa,0,n,2
疏慵,VH11,0,i,2
疑兇,Nab,0,n,2
疑則勿用用則勿疑,VH11,0,i,8
疔瘡,Nad,1,n,2
疣贅,Nad,0,n,2
疲困,VH11,0,i,2
疽囊,Nab,0,n,2
疿,b,0,zg,1
痀,b,0,zg,1
痄,b,0,zg,1
病愈,VH11,0,i,2
病歿,VH11,0,i,2
痒,VH11,0,i,1
痒疹,Nad,0,n,2
痙孿,VH11,0,i,2
痛毀極詆,VA4,0,v,4
痧子,Nad,0,n,2
痲,b,0,zg,1
痲疹,Nad,0,n,2
痲痹,VH11,0,i,2
痲痺,VH11,2,i,2
痲瘋,Nad,4,n,4
痹,b,0,zg,1
瘃,b,0,zg,1
瘊,b,0,zg,1
瘌,b,0,zg,1
瘙疹,Nad,0,n,2
瘠土,Naa,1,n,2
瘠地,Nab,0,n,2
瘠田,Nab,0,n,2
瘡癤,Nad,3,n,3
瘥,b,0,zg,1
癒,b,0,zg,1
癒瘡,Nad,0,n,2
癡,VH21,14,i,14
癡人說夢,VH11,0,i,4
癡呆,VH11,2,i,2
癡呆症,Nad,4,n,4
癡心,VH11,5,i,5
癡心人,Nab,0,n,3
癡心妄想,VE2,0,v,4
癡心漢,Nab,0,n,3
癡情,"Nv4, VH21","0, 6","i, v","6, 2"
癡想,VE2,0,v,2
癡漢,Nab,0,n,2
癡狂,VH11,1,i,2
癡癡傻傻,VH11,0,i,4
癡笑,VA4,0,v,2
癡肥,VH11,0,i,2
癡迷,VI2,1,v,2
癡鈍,VH11,0,i,2
癥候,Nac,0,n,2
癥狀,Nac,1,n,2
登台,"Nv4, VA13","0, 15",v,17
發下來,VB2,4,v,4
發出來,VB2,0,v,3
發射台,Nab,11,n,11
發展下去,VH11,0,i,4
發展出來,VC31,34,v,34
發展心理學,Nad,0,n,5
發展為,VG1,16,v,16
發布,"Nv1, VE2","0, 45",v,47
發掘到,VE2,1,v,3
發揮出,VC31,7,v,7
發泄,VC31,3,v,3
發現到,VE2,35,v,35
發癡,VH11,0,i,2
發砲,VA4,1,v,2
發表出來,VB12,1,v,4
發表會,Nac,67,n,67
發蹟,VI2,0,v,2
發軔,VB11,3,v,3
發霉,VH11,6,i,6
白做,"VC31, VG2","3, 0",v,5
白墨,Nab,0,n,2
白干兒,Naa,0,n,3
白打,VC2,2,v,2
白晢,VH11,4,i,4
白潔,VH11,0,i,2
白煮,VC2,0,v,2
白癡,Nab,5,n,5
白練,VC2,0,v,2
白脫,VC31,1,v,2
白說,VC2,1,v,2
白賺,VC31,0,v,2
白露,Ndabd,0,t,2
白面,A,10,n,10
百善孝為先,VH11,0,i,5
皂靴,Nab,0,n,2
皎月,Nab,0,n,2
皎皎,A,0,n,2
皜,b,0,zg,1
皤皤,VH11,0,i,2
皮舟,Nab,0,n,2
皸,b,0,zg,1
盃,!Nab,0,n,1
盈盈的,A,0,n,3
盎格魯薩克遜,Nba,0,nr,6
盒子砲,Nab,0,n,3
盡人事聽天命,VA4,0,v,6
盡到,VJ1,18,v,18
盡可能,Dh,28,n,28
盡快,Dd,9,d,9
盡管,"Cbaa, Dh","22, 1","c, n","22, 2"
盡量,Dh,150,n,150
監察人,Nab,6,n,6
盤庚,Nba,0,nr,2
盤根錯結,VH11,2,i,4
盧江,Nca,0,ns,2
盪盪,VH11,4,i,4
直昇機,Nab,12,n,12
直昇飛機,Nab,0,n,4
直流發電機,Nab,0,n,5
直系親,Nab,0,n,3
直講,VA4,0,v,2
相並,Dh,0,n,2
相反地,Dk,27,l,27
相同於,VK2,0,v,3
相爺,Nab,5,n,5
相背,VA4,0,v,2
相黏,VA4,0,v,2
省下,VJ3,46,v,46
省下來,VI2,9,v,9
省主席,Nab,45,n,45
省改,A,0,n,2
省政,Nad,9,n,9
省時,VH11,10,i,10
眄睨,VC2,0,v,2
眇小,VH11,1,i,2
眇眇,VH11,0,i,2
看上來,Dbc,0,v,3
看下去,VA4,9,v,9
看不過,VE2,1,v,3
看出來,VE2,45,v,45
看台,Nab,13,n,13
看店,VA4,2,v,2
看得到,VJ1,0,v,3
看懂,VJ2,12,v,12
看醫生,VA4,15,v,15
眙,b,0,zg,1
真我,Nad,14,n,14
真摰,VH21,4,i,4
真蹟,Nab,0,n,2
真除,VG2,2,v,2
眩耀,"VC2, VH11","0, 0","i, v","2, 2"
眺望台,Ncb,1,n,3
眼中人,Nab,0,n,3
眼帘,Nab,0,n,2
眼看著,VE2,20,v,20
眼觀鼻鼻觀心,VA4,0,v,6
眾人皆醉我獨醒,VH11,0,i,7
眾所週知,VK1,10,v,10
睊,b,0,zg,1
睎,b,0,zg,1
睟,b,0,zg,1
睠,b,0,zg,1
睡眼矇矓,VH11,0,i,4
睩,b,0,zg,1
睽攜,VH11,0,i,2
瞇眼,VA4,0,v,2
瞎貓捉到死老鼠,VA4,0,v,7
瞜,b,0,zg,1
瞢昧,VH11,0,i,2
瞧縣,Nca,0,ns,2
瞭望台,Ncb,2,n,3
瞭解到,VK1,15,v,15
瞵盼,VJ2,0,v,2
瞽亂,VH11,0,i,2
瞽夫,Nab,0,n,2
瞽者,Nab,0,n,2
瞿塘,Nca,0,ns,2
矇矇,b,0,zg,2
知了,Nab,12,n,12
知其一不知其二,VH11,0,i,7
知其不可為而為之,VH11,0,i,8
知恥近乎勇,VH11,2,i,5
知識份子,Nab,0,n,4
知識階級,Nac,0,n,4
短期預付費用,Naeb,0,n,6
矮人,Nab,14,n,14
矱,b,0,zg,1
石佛,Nab,0,n,2
石埭,Nab,0,n,2
石墩,Nab,1,n,2
石弓,Nab,0,n,2
石文,Naeb,0,n,2
石油公司,Ncb,0,n,4
石油化學工業,Nac,0,n,6
石油輸出國家,Nac,0,n,6
石矽,Naa,0,n,2
石首魚,Nab,0,n,3
石鹼,Naa,0,n,2
砍下,VC31,8,v,8
砍去,VC31,4,v,4
研究出,VE2,10,v,10
研究出來,VE2,6,v,6
研究起來,VA4,0,v,4
砢,b,0,zg,1
砧砭,VC2,0,v,2
砰噹,Dh,0,n,2
砲仗,Nac,0,n,2
砲位,Nac,2,n,2
砲兵,Nab,6,n,6
砲兵部隊,Nab,0,n,4
砲兵陣地,Ncb,0,n,4
砲台,Nab,1,n,2
砲塔,Nab,1,n,2
砲座,Nab,0,n,2
砲彈,Nab,11,n,11
砲手,Nab,2,n,2
砲擊,"Nv1, VC2","0, 2",v,4
砲火,Naa,20,n,20
砲灰,Nab,4,n,4
砲聲,Nad,0,n,2
砲聲隆隆,VH11,4,i,4
砲臺,Nab,2,n,2
砲艇,Nab,0,n,2
砲衣,Nab,0,n,2
砲車,Nab,1,n,2
砲轟,"Nv1, VC2","0, 14",v,16
破相,VH11,3,i,3
砸下,VC31,0,v,2
砸了,VH11,2,i,2
硬來,VA4,0,v,2
硬給,VD1,0,v,2
硬說,VE2,4,v,4
确,b,0,zg,1
硯台,Nab,1,n,2
碇泊,VH14,0,v,2
碧山,Nab,0,n,2
碧江,Nab,0,n,2
碼表,Nab,1,n,2
磅礡,VH11,7,i,7
磋跎,VC2,1,v,2
磠,b,0,zg,1
磬折,VA4,0,v,2
磬聲,Nad,1,n,2
磯鳥,Nab,0,n,2
磯鷂,Nab,2,n,2
磽薄,VH11,0,i,2
社會問題,Nac,0,n,4
社會地位,Nac,0,n,4
社會心理,Nad,0,n,4
社會改革,Nad,0,n,4
社會改革者,Nab,0,n,5
社會新聞,Nac,0,n,4
社會現象,Nad,0,n,4
社會處,Ncb,7,n,7
祁寒,VH11,0,i,2
祆教,Nba,0,nr,2
祇好,Dbb,9,d,9
祇是,"Cbca, Dbb","9, 1","c, d","9, 2"
祇有,"Cbaa, Dbb, VJ3","0, 16, 2","c, d, v","2, 16, 2"
祇管,VE2,0,v,2
祇要,Cbaa,26,c,26
祐德,VA4,4,v,4
祖傳秘方,Nac,0,n,4
祖德,Nad,0,n,2
祖翁,Nab,0,n,2
祖考,Nab,0,n,2
祝典,Nac,0,n,2
祝巫,Nab,0,n,2
祝文,Nab,0,n,2
祝英台,Nba,22,nr,22
神台,Nab,0,n,2
神學生,Nab,0,n,3
神將,Nab,1,n,2
神恩,Nad,2,n,2
神祭,Nac,0,n,2
神秘,VH11,112,i,112
神秘性,Nad,2,n,3
神聖不可侵犯,VH11,0,i,6
神聖羅馬帝國,Nca,0,ns,6
神跡,Nad,0,n,2
神釆,Nad,0,n,2
神釆奕奕,VH11,0,i,4
神釆飛揚,VH11,0,i,4
神麴,Naa,0,n,2
祥麟,Nad,0,n,2
票匭,Nab,0,n,2
票據交換所,Ncb,0,n,5
祭日,Nad,3,n,3
禁煙,VH11,4,i,4
禁煙節,Ndabd,0,t,3
禎祥,Nac,0,n,2
福蔭,VC2,1,v,2
福薄,VH11,0,i,2
禠,b,0,zg,1
禪偈,Nab,0,n,2
禮多人不怪,VH11,0,i,5
禮樂射御書數,Naea,0,n,6
禮砲,Nab,0,n,2
禮節為治事之本,VH11,0,i,7
禮輕情意重,VH11,0,i,5
禾菽,Nab,0,n,2
禾,Nab,0,n,2
禿人,Nab,0,n,2
私欲,Nad,2,n,2
秋千,Nab,3,n,3
秋顏,A,0,n,2
种,Nbc,0,nr,1
科學方法,Nac,4,n,4
秘,b,0,zg,1
秘奧,Nad,0,n,2
秘密,"Nac, VH11","120, 15","i, n","15, 120"
秘方,Nac,22,n,22
秘書,Nab,203,n,203
秘書處,Ncb,13,n,13
秘書長,Nab,148,n,148
秘書黨,Nba,0,nr,3
秘笈,Nab,4,n,4
秘而不宣,VA4,1,v,4
秘要,Nad,0,n,2
秘訣,Nac,28,n,28
秘魯,Nca,10,ns,10
秣槽,Nab,0,n,2
秤薪而爨,VH11,0,i,4
秬,b,0,zg,1
稅捐稽征處,Ncb,0,n,5
稅捐稽徵處,Ncb,0,n,5
稍可,VH11,1,i,2
稔知,VJ1,0,v,2
種下,VC31,20,v,20
稱便,VH11,1,i,2
稱曰,VE2,0,v,2
稱羡,VA4,5,v,5
稱說,VE2,0,v,2
稱錢,VH11,0,i,2
稽征,"Nv1, VD2","0, 1",v,4
稽覈,VC2,0,v,2
稽顙,VA4,0,v,2
穀道,Nab,0,n,2
穀雨,Ndabd,0,t,2
穆穆,VH11,0,i,2
積極份子,Nab,0,n,4
穡人,Nab,0,n,2
穡夫,Nab,0,n,2
穢褻,VH11,0,i,2
穩定住,VH16,0,v,3
穫,b,0,zg,1
空對地飛彈,Nab,0,n,5
空對空飛彈,Nab,0,n,5
空有,VJ1,8,v,8
空無,VJ1,8,v,8
空等,VH11,0,i,2
空說,Nad,0,n,2
空谷回音,Nad,0,n,4
空軍機械學校,Nca,0,ns,6
空軍軍官學校,Nca,0,ns,6
空軍通信電子學校,Nca,0,ns,8
穿上,VC31,80,v,80
穿好,VC2,14,v,14
窅,b,0,zg,1
窒欲,VA4,0,v,2
窕邃,VH11,0,i,2
窗台,Nab,12,n,12
窗帘,Nab,8,n,8
窗檯,Nab,2,n,2
窘匱,VH11,0,i,2
窳劣,VH11,1,i,2
窳敗,VH11,0,i,2
窳民,Nab,0,n,2
窳陋,VH11,0,i,2
窸窣,Dh,0,n,2
窺覬,VC2,0,v,2
竇憲,Nba,1,nr,2
竊听,VA4,0,v,2
立夏,Ndabd,0,t,2
立春,Ndabd,0,t,2
立秋,Ndabd,0,t,2
立說,VA4,0,v,2
立雪,Ndabd,0,t,2
站出來,VA11,26,v,26
站台,Nab,2,n,2
站直,VA12,1,v,2
站起來,VA11,106,v,106
站開,VA12,2,v,2
竟陵派,Naea,0,n,3
章帝,Nba,0,nr,2
竦懼,VH21,0,i,2
竦立,VH14,0,v,2
端由,Nad,0,n,2
笑出,VC31,1,v,2
笑出來,VA4,3,v,3
笑眼,Nab,0,n,2
笑瞇瞇,VA4,4,v,4
笑起來,VA4,3,v,3
笙歌不輟,VH11,0,i,4
笞刑,Nad,0,n,2
笳鼓,Nab,0,n,2
笻,b,0,zg,1
筆杆,Nab,0,n,2
等一下,"Dd, VA4","0, 0","d, v","3, 3"
等一會,"Dd, VA4","4, 0","d, v","4, 3"
等一會兒,"Dd, VA4","0, 0","d, v","4, 4"
等上,VC2,3,v,3
等侯,VC2,1,v,2
等分,Nac,0,n,2
等差,A,3,n,3
等比,A,2,n,2
等第,Nac,1,n,2
等號,Nac,25,n,25
等角,Nac,0,n,2
等角三角形,Nac,0,n,5
等身,VH11,1,i,2
等輩,VH11,0,i,2
等速度,Nad,0,n,3
等邊,VH11,1,i,2
等邊三角形,Nac,0,n,5
等高,VH11,3,i,3
筑,b,0,zg,1
答復,VE12,0,v,2
筥,b,0,zg,1
筧橋,Nca,1,ns,2
筮書,Nab,1,n,2
筮法,Nad,1,n,2
箋注,Nac,0,n,2
箕斂,VC31,0,v,2
箕踞,VA12,0,v,2
算上,VC2,4,v,4
算不了什麼,VH11,0,i,5
算做,VG1,4,v,4
算帳,"VA4, VB11","14, 0",v,16
算得了什麼,VH11,0,i,5
算起來,Dbc,12,v,12
管不了那麼多,VA4,0,v,6
管弦,A,24,n,24
管弦樂,Nad,2,n,3
管理人,Nab,15,n,15
管理學院,Ncb,0,n,4
管理師,Nab,0,n,3
管笛,Naeb,0,n,2
管賬的,Nab,0,n,3
管鮑,Naea,0,n,2
箱篋,Ncb,0,n,2
箴砭,Nad,0,n,2
箴誡,VC2,0,v,2
箴諫,VC2,0,v,2
篆籀,Nad,0,n,2
篡弒,VC2,0,v,2
簆,b,0,zg,1
簠簋,Nab,0,n,2
簷下,Ncc,0,n,2
簷前,Ncc,0,n,2
簷宇,Nab,0,n,2
簷柱,Nab,0,n,2
簷角,Ncc,0,n,2
簷頭,Ncc,0,n,2
籀文,Nac,0,n,2
籀書,Nad,0,n,2
籀篆,Nad,0,n,2
籌畫,"Nv1, VC2","0, 11",v,13
籐,Nab,8,n,8
籥,Nab,0,n,1
籩豆,Nab,0,n,2
米舖,Nab,1,n,2
米蝦,Nab,0,n,2
米開蘭基羅,Nba,5,nr,5
米雪,"Naa, Nba","0, 0","n, nr","2, 2"
米食,Naeb,13,n,13
粗鹵,VH11,0,i,2
粟倉,Ncb,0,n,2
粥餳,Naa,0,n,2
粵江三角洲,Nca,0,ns,5
精一,VH11,0,i,2
精神教育,Nad,0,n,4
精神生活,Nad,0,n,4
精神病學家,Nab,0,n,5
精覈,VH11,0,i,2
精鍊,VC2,5,v,5
糊口,VH11,6,i,6
糒,b,0,zg,1
糗事,Nac,7,n,7
糞污,Naa,0,n,2
糢,b,0,zg,1
糧涸,VH11,0,i,2
糰,b,0,zg,1
糴米,VA4,0,v,2
